building,prper,names,rents,locs2,schools,locs1,lines,sales,years,houses,comper,url,build,prices,counts,devloper,discribe
4栋,2元/平米/月,诚基经贸中心,266,体育馆街,耀华小学,和平,1号线营口道站,4, / 2008年建成,7064户,暂无信息,http://tj.lianjia.com/xiaoqu/1211046425881/,塔楼,24960,316,天津泰瑞房地产开发有限公司,容积率/1.52  绿化率/30%
8栋,2元/平米/月,佳怡公寓,10,南营门街,,和平,3号线西康路站,, / 2004年建成,1549户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046200170/,塔楼/板楼,19670,9,天津市房地产信托集团公司,容积率/1.35  绿化率/35%
2栋,1.35元/平米/月,新文化花园新丽居,19,南市,万全小学,和平,1号线二纬路站,, / 2005年建成,448户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045948858/,板楼,22400,9,无开发商,容积率/1.54  绿化率/29%
1栋,2元/平米/月,新文化花园新景居,11,南市,万全小学,和平,1号线鞍山道站,, / 2006年建成,448户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046326353/,板楼,42006,21,无开发商,容积率/1.5  绿化率/10%
10栋,1.6元/平米/月,同方花园,19,南市,万全小学,和平,2号线东南角站,, / 2006年建成,836户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046133983/,板楼,44168,10,无开发商,容积率/1.5  绿化率/10%
5栋,1.5元/平米/月,万科都市花园,6,南营门街,,和平,3号线西康路站,, / 2000年建成,795户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046043388/,塔楼/板楼,29065,9,天津万科兴业（集团）有限公司,容积率/4.88  绿化率/30%
4栋,0.5至2元/平米/月,金茂广场,17,南市,万全小学,和平,1号线二纬路站,, / 1990年建成,1396户,天津市金濠物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211045939733/,塔楼/板楼,18681,40,天津市金茂投资发展公司,容积率/3.6  绿化率/26%
10栋,0.5元/平米/月,竞业里,6,南营门街,,和平,3号线西康路站,, / 1990年建成,580户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045941054/,板楼,33401,10,无开发商,容积率/2.12  绿化率/10%
3栋,0.15元/平米/月,宜昌南里,4,新兴街,,和平,3号线西康路站,, / 2000年建成,639户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045950720/,板楼,27154,10,无开发商,容积率/1.6  绿化率/10%
5栋,0.35元/平米/月,益寿里,9,体育馆街,和平实验小学,和平,1号线营口道站,, / 1997年建成,417户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046436349/,板楼,55225,11,天津市和平区建设开发公司,暂无容积率信息  暂无绿化率信息
8栋,0.15元/平米/月,金泉里,5,新兴街,昆明路小学,和平,3号线吴家窑站,, / 1987年建成,677户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045960791/,板楼,40236,11,无开发商,容积率/1.4  绿化率/10%
5栋,0.1元/平米/月,市政里,5,南营门街,和平区中心小学,和平,1号线鞍山道站,, / 1985年建成,318户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045943634/,板楼,43667,11,无开发商,容积率/1.8  绿化率/40%
