building	shop	prper	names	rents	locs2	schools	shopadd	locs1	lines	sales	years	houses	comper	url	build	prices	counts	devloper	types	discribe
48栋	府学小学店	暂无信息	北新胡同	0	东直门	东直门中学小学部	东城区交道口东大街4号楼一层4-12	东城	2号线雍和宫站	0	未知类型?未知年	192户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027376206/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
11栋	府学小学店	暂无信息	北新四巷	0	东直门	东直门中学小学部	东城区交道口东大街4号楼一层4-12	东城	2号线雍和宫站	0	未知类型?未知年	44户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027376216/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
2栋	蒋宅口店	暂无信息	安外大街82号院	0	和平里	地坛小学	东城区安定门外大街甘水桥16号楼底商	东城	2号线安定门站	0	板楼?1985年	96户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027375661/	板楼	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
1栋	和平新城新店	暂无信息	民旺北胡同	0	和平里		东城区民旺园30号楼配商一层4A地下一层8A	东城	13号线柳芳站	0	未知类型?未知年	4户	暂无信息	http://bj.lianjia.com/xiaoqu/1111041090927/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
1栋	和平里六区一店	暂无信息	和平商业大厦	0	和平里		北京市东城区和平里中街25号	东城	5号线和平里北街站	0	板楼?未知年	60户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027375213/	板楼	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
2栋	景山小学店	暂无信息	北利民胡同	0	东直门	东直门中学小学部	东城东直门内小街12号楼底商	东城	2号线雍和宫站	0	未知类型?未知年	8户	暂无信息	http://bj.lianjia.com/xiaoqu/1111043078153/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
1栋	金宝街一店	暂无信息	照朝胡同	0	建国门内		朝阳门南小街20号楼1层27	东城	1号线建国门站	0	未知类型?未知年	4户	暂无信息	http://bj.lianjia.com/xiaoqu/1111043409590/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
2栋	金宝街一店	暂无信息	盛芳胡同2号	0	建国门内	东总布小学	朝阳门南小街20号楼1层27	东城	1号线建国门站	0	未知类型?未知年	5户	暂无信息	http://bj.lianjia.com/xiaoqu/1111043074245/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
2栋	蒋宅口店	9.5元/平米/月	盛德紫阙	0	和平里		东城区安定门外大街甘水桥16号楼底商	东城	5号线和平里北街站	0	板楼塔板结合?2014年	284户	北京盛德恒通物业服务有限公司	http://bj.lianjia.com/xiaoqu/1111063601416/	板楼/塔板结合	暂无均价	0	北京杰宝房地产开发有限责任公司		容积率/9.2??绿化率/17%
2栋	灯市口一店	18元/平米/月	励骏华庭	0	建国门内		北京市东城灯市口大街25号部分营业用房	东城	5号线灯市口站	0	塔板结合?2009年	250户	北京励展物业管理有限公司	http://bj.lianjia.com/xiaoqu/1111099999578/	塔板结合	暂无均价	0	北京励骏华庭	11	容积率/5.18??绿化率/30%
1栋	丁丁虚拟5店	暂无信息	车辇店胡同32号院	0	安定门		无	东城	2号线安定门站	0	平房?未知年	4户	暂无信息	http://bj.lianjia.com/xiaoqu/1111041951490/	平房	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
4栋	安定门地铁店	暂无信息	前肖家胡同	0	安定门	方家胡同小学	东城安外西河沿14号楼一层底商（七色光摄影内西侧房屋一间）	东城	2号线安定门站	0	平房?未知年	13户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027378932/	平房	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
