building,shop,prper,names,rents,locs2,schools,shopadd,locs1,lines,sales,years,houses,comper,url,build,prices,counts,devloper,types,discribe
0栋,冠英园店,暂无信息,小后仓胡同,0,官园,,西城区赵登禹路冠英园西底墒29号楼,西城,,0,未知类型 未知年,0户,暂无信息,http://bj.lianjia.com/xiaoqu/1111047991264/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
28栋,官苑八号店,暂无信息,阜成门内大街,2,官园,黄城根小学官园校区/西四北四小学,西城区玉廊西园11-4,西城,2号线阜成门站,0,未知类型 未知年,87户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027374171/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
20栋,官苑八号店,暂无信息,白塔寺前抄手胡同,0,官园,黄城根小学官园校区,西城区玉廊西园11-4,西城,2号线阜成门站,0,未知类型 未知年,23户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027376124/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
3栋,丰汇园临时店,暂无信息,月坛西街,0,月坛,,无,西城,1号线南礼士路站,0,板楼 1970年,28户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027382095/,板楼,暂无均价,0,暂无信息,,容积率/16.43  绿化率/25%
1栋,金泉美食宫临时店,暂无信息,泰阳大厦,0,月坛,,无,西城,6号线车公庄西站,0,塔楼 未知年,180户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027380085/,塔楼,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,积水潭店,暂无信息,新街口北大街160号,0,德胜门,,西城新街口西里一区1号楼1号（底商）,西城,4号线新街口站,0,板楼 未知年,2户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027380932/,板楼,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,积水潭店,暂无信息,新街口七条13号,0,新街口,实验二小玉桃园分校,西城新街口西里一区1号楼1号（底商）,西城,2号线积水潭站,0,板楼 1969年,65户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027380938/,板楼,暂无均价,0,暂无信息,,容积率/1  暂无绿化率信息
3栋,丁丁虚拟12店,暂无信息,水车胡同,0,德胜门,新街口东街小学,无,西城,2号线积水潭站,0,未知类型 未知年,9户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027379109/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,双旗杆店,暂无信息,燕莎盛世大厦,0,马甸,,黄寺大街23号5号楼,西城,8号线安华桥站,0,塔板结合 未知年,90户,暂无信息,http://bj.lianjia.com/xiaoqu/1111041090623/,塔板结合,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,积水潭店,暂无信息,新街口七条11号,3,新街口,,西城新街口西里一区1号楼1号（底商）,西城,2号线积水潭站,0,板楼 未知年,6户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027380937/,板楼,暂无均价,0,暂无信息,,容积率/1  暂无绿化率信息
