building,prper,names,rents,locs2,schools,locs1,lines,sales,years,houses,comper,url,build,prices,counts,devloper,discribe
10栋,0.8元/平米/月,海峰公寓,5,大直沽,街坊小学,河东,津滨9号线东兴路站,2,2000年,588户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045535925/,板楼,20257,7,无开发商,容积率/1.17  绿化率/30%
7栋,0.75元/平米/月,三省里,14,大王庄,一中心小学,河东,津滨9号线大王庄站,1,1997年,795户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045519032/,板楼,19985,7,河东建设开发公司,容积率/1.35  绿化率/15%
3栋,0.5元/平米/月,中北里,7,唐家口,,河东,2号线顺驰桥站,0,1989年,176户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045682811/,板楼,16556,7,河东建设开发公司,容积率/1.8  绿化率/10%
44栋,0.75元/平米/月,向阳楼,75,向阳楼,二中心小学,河东,2号线靖江路站,0,1999年,2871户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045619427/,板楼,15684,7,无开发商,容积率/1.6  绿化率/10%
28栋,0.6元/平米/月,滨河家园,19,富民路,松竹里小学,河东,1号线陈塘庄站,0,2003年,1165户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045524237/,板楼,18410,7,天津市正继房地产开发有限公司,容积率/1.19  绿化率/10%
2栋,0.8元/平米/月,海兰公寓,5,春华街,,河东,2号线顺驰桥站,0,1998年,138户,天津安联物业有限公司,http://tj.lianjia.com/xiaoqu/1211045462518/,板楼,15582,7,天津海申传奇置业有限公司,容积率/1.8  绿化率/10%
16栋,0.2元/平米/月,富民东里,5,富民路,,河东,津滨9号线中山门站,0,1999年,938户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045529435/,板楼,15552,7,河东建委,容积率/1.4  绿化率/10%
21栋,0.4元/平米/月,环秀中里,9,万新村,香小,河东,,0,1996年,1739户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045586891/,板楼,14475,7,无开发商,容积率/1.6  绿化率/10%
12栋,0.5元/平米/月,龙潭路,5,中山门街,,河东,津滨9号线中山门站,0,1989年,755户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811051021281/,塔楼/板楼,14383,7,无开发商,暂无容积率信息  暂无绿化率信息
7栋,0.5元/平米/月,津塘路187号,10,二号桥街,,河东,津滨9号线二号桥站,0,1992年,585户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811051175324/,板楼,13095,7,无开发商,容积率/1.5  绿化率/10%
9栋,0.7元/平米/月,安吉花园,6,二号桥街,,河东,津滨9号线一号桥站,0,1998年,636户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045533685/,板楼,12788,7,河东美东房地产开发有限公司,容积率/1.35  绿化率/25%
