building,prper,names,rents,locs2,schools,locs1,lines,sales,years,houses,comper,url,build,prices,counts,devloper,discribe
3栋,0.5元/平米/月,向阳小区,0,向阳路,二中心小学,南开,号线咸阳路站,,1994年,672户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045304299/,板楼,17017,6,无开发商,容积率/2.18  绿化率/18%
1栋,0.8元/平米/月,华都大厦,8,兴南街,,南开,号线海光寺站,,2000年,171户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046587542/,板楼,14191,7,无开发商,容积率/1.25  绿化率/10%
2栋,0.5元/平米/月,慎兴南里,6,兴南街,南开中心小学,南开,号线二纬路站,,1994年,337户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046341801/,板楼,22110,0,无开发商,容积率/1.5  绿化率/10%
5栋,2.8元/平米/月,濠景国际,19,体育中心街,,南开,,,2005年,426户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046340697/,板楼,13891,10,无开发商,容积率/1.5  绿化率/10%
8栋,0.5元/平米/月,金宇里,30,王顶堤,,南开,号线红旗南路站,,1985年,717户,天津市丰达物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211045268334/,板楼,19440,14,天津南开建筑开发有限公司,容积率/1.12  绿化率/10%
16栋,0.5元/平米/月,府湖里,30,学府街,风湖里小学,南开,,,1997年,830户,天津市丰达物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211045299780/,板楼,22393,9,天津南开建筑开发有限公司,容积率/1.38  绿化率/20%
2栋,1元/平米/月,新颜西里,1,万兴街,南开中心小学,南开,号线海光寺站,,1984年,132户,天津市丰达物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211046117780/,板楼,20666,3,无开发商,暂无容积率信息  暂无绿化率信息
5栋,1.5元/平米/月,卫安中里,17,广开街,永基小学,南开,号线西南角站,,1990年,1078户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045201883/,板楼,20070,17,天津南开建筑开发有限公司,容积率/1  绿化率/10%
21栋,1.7元/平米/月,莲安里,7,嘉陵道街,,南开,,,1999年,1136户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045208142/,板楼,18663,12,天津市南开区建设开发公司,容积率/2.32  绿化率/20%
12栋,2.2至5元/平米/月,奥城公寓,305,体育中心街,,南开,,,2005年,14953户,暂无信息,http://tj.lianjia.com/xiaoqu/1211045922656/,塔楼/板楼,11093,139,天津融创奥城投资有限公司,容积率/2.2  绿化率/38%
12栋,0.15至0.5元/平米/月,云阳西里,10,嘉陵道街,,南开,,,1994年,1501户,天津市丰达物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211045224265/,板楼,17394,24,天津市南开区建设开发公司,容积率/1.5  绿化率/20%
14栋,0.35元/平米/月,林苑东里,30,王顶堤,,南开,号线红旗南路站,,1999年,1108户,天津市丰达物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211045275513/,板楼,16157,33,天津市南开区建设开发公司,容积率/1.86  绿化率/10%
35栋,2元/平米/月,金地格林世界棕榈苑D区,35,双港,,津南,号线津湾广场站,,2010年,3359户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811052638498/,塔楼/板楼,15240,62,无开发商,容积率/1.6  绿化率/10%
